sections,page_path,title,type,color_number,description,external_id,color_hex,image,url,published_at,Family,Shade,updated_at,color_name,Interior/Exterior,cdp,Color Collection,popularity,info,highlight,id,ColorValue,WarmCool,PrimaryColorFamily,Undertone,Opacity,Mood,Project,language,Style
"['Tucker Gray', 'Matching Colors', 'Color By Family']",/en-us/paint-colors/color/cw-705/tucker-gray,Tucker Gray CW-705 | Benjamin Moore,Color,CW-705,"In colonial homes, this shade was used both as a finish color and a base for more brilliant colors. Created using black and white pigments, it is flattering and versatile shade of gray.",cb2915e203a26efed2acd173e7e99362861d4253,909698,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-239-tucker-gray-CW-705-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cw-705/tucker-gray,2024-07-31T04:41:08Z,Neutral,Medium,2024-07-03T11:14:15Z,Tucker Gray,"['Interior', 'Exterior']",true,Williamsburg&reg; Paint Color Collection,1,,"{'title': 'Tucker <em>Gray</em> CW-705 | Benjamin Moore', 'sections': 'Tucker <em>Gray</em>', 'description': 'In colonial homes, this shade was used both as a finish color and a base for more brilliant colors. Created using black and white pigments, it is flattering and versatile shade of <em>gray</em>.', 'color_name': 'Tucker <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cw-705&#x2F;tucker-<em>gray</em>'}",62424eee196a67f1a68968c7,,,,,,,,,
"['Delray Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1614/delray-gray,Delray Gray 1614 | Benjamin Moore,Color,1614,"Like the subtle shade of the sea on a foggy morning, this mid-tone neutral features a touch of blue.",37a6772ba7407fa2985b30fd0676b74ab3240525,9A9FA2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-224-delray-gray-1614-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1614/delray-gray,2024-07-21T23:12:18Z,,,2024-07-21T23:12:17Z,Delray Gray,,,,1,,"{'title': 'Delray <em>Gray</em> 1614 | Benjamin Moore', 'sections': 'Delray <em>Gray</em>', 'color_name': 'Delray <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;1614&#x2F;delray-<em>gray</em>'}",6242623b64441fdf22003c32,Medium,Cool,Neutral,,,,,,
"['Gray Mist', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/962/gray-mist,Gray Mist 962 | Benjamin Moore,Color,962,Hushed greige tones broaden the versatility of this off-white.,7af02e3496db4ddfe533384a819d2f4c9b00c450,E3DFD2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-250-gray-mist-962-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/962/gray-mist,2024-07-21T23:18:37Z,,,2024-07-21T23:18:37Z,Gray Mist,,,,1,,"{'title': '<em>Gray</em> Mist 962 | Benjamin Moore', 'sections': '<em>Gray</em> Mist', 'color_name': '<em>Gray</em> Mist', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;962&#x2F;<em>gray</em>-mist'}",6242adce64441f7df00048f1,Light,Warm,White,Cream,,,,,
"['Baltic Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1467/baltic-gray,Baltic Gray 1467 | Benjamin Moore,Color,1467,A refined mid-tone with hints of greige that bring versatility.,a2a169f1261a6d4c7cc2f99b3d4c5174fed40769,B4B2AE,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-216-baltic-gray-1467-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1467/baltic-gray,2024-07-22T02:51:25Z,,,2024-07-22T02:51:24Z,Baltic Gray,,,,1,,"{'title': 'Baltic <em>Gray</em> 1467 | Benjamin Moore', 'sections': 'Baltic <em>Gray</em>', 'color_name': 'Baltic <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;1467&#x2F;baltic-<em>gray</em>', 'Undertone': '<em>Gray</em>'}",6242bbc564441f72bd004dea,Medium,Cool,Neutral,Gray,,,,,
"['Gray Huskie', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1473/gray-huskie,Gray Huskie 1473 | Benjamin Moore,Color,1473,"An easy-going, adaptable hue that exudes effortless sophistication.",cfeb5305ab0dd632638fbdabbd3417b2cf31cfa0,B6B4AC,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-230-gray-huskie-1473-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1473/gray-huskie,2024-07-21T22:48:09Z,,,2024-07-21T22:48:08Z,Gray Huskie,,,,1,,"{'title': '<em>Gray</em> Huskie 1473 | Benjamin Moore', 'sections': '<em>Gray</em> Huskie', 'color_name': '<em>Gray</em> Huskie', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;1473&#x2F;<em>gray</em>-huskie', 'Undertone': '<em>Gray</em>'}",6242e66a28ccbcac2cddbe51,Medium,Cool,Neutral,Gray,,,,,
"['Senora Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1530/senora-gray,Senora Gray 1530 | Benjamin Moore,Color,1530,"A muted mid-tone, this warm neutral features hints of green.",7a7890306e5d2960fe29be78564655fdacdc3705,C0BBA9,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-193-senora-gray-1530-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1530/senora-gray,2024-07-22T04:34:44Z,,,2024-07-22T04:34:44Z,Senora Gray,,,,1,,"{'title': 'Senora <em>Gray</em> 1530 | Benjamin Moore', 'sections': 'Senora <em>Gray</em>', 'color_name': 'Senora <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;1530&#x2F;senora-<em>gray</em>'}",624287c028ccbcaf85dd9d94,Medium,Warm,Neutral,,,,,,
"['Rock Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1615/rock-gray,Rock Gray 1615 | Benjamin Moore,Color,1615,"This organic hue features an infusion of blue, reminiscent of ocean-smoothed stones.",a8b234f37b416a3bbdbce65a770e8cbd2568a024,7F8386,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-224-rock-gray-1615-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1615/rock-gray,2024-07-22T03:58:12Z,,,2024-07-22T03:58:11Z,Rock Gray,,,,1,,"{'title': 'Rock <em>Gray</em> 1615 | Benjamin Moore', 'sections': 'Rock <em>Gray</em>', 'color_name': 'Rock <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;1615&#x2F;rock-<em>gray</em>'}",62424f9464441fde9b006279,Medium,Cool,Neutral,,,,,,
"['Ashwood Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1654/ashwood-gray,Ashwood Gray 1654 | Benjamin Moore,Color,1654,"A softened sky blue with an easy, breezy appeal.",102c0a36b5e414b1c94fe33dd8c817121028b482,B9D3DA,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-132-ashwood-gray-1654-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1654/ashwood-gray,2024-07-22T04:52:26Z,,,2024-07-22T04:52:26Z,Ashwood Gray,,,,1,,"{'title': 'Ashwood <em>Gray</em> 1654 | Benjamin Moore', 'sections': 'Ashwood <em>Gray</em>', 'color_name': 'Ashwood <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;1654&#x2F;ashwood-<em>gray</em>'}",6242e226196a67eee889664e,Light,Cool,,,,,,,
"['Pelican Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1612/pelican-gray,Pelican Gray 1612 | Benjamin Moore,Color,1612,"This cool, pale, peaceful neutral adds a soothing quality to any space.",e7e68e377607f78f451b8aa3ffbb9894c5baeec5,C6CBCC,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-224-pelican-gray-1612-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1612/pelican-gray,2024-07-22T03:07:50Z,,,2024-07-22T03:07:50Z,Pelican Gray,,,,1,,"{'title': 'Pelican <em>Gray</em> 1612 | Benjamin Moore', 'sections': 'Pelican <em>Gray</em>', 'color_name': 'Pelican <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;1612&#x2F;pelican-<em>gray</em>'}",62427dd1e7b9d22b3c0f44fe,Light,Cool,Neutral,,,,,,
"['Powell Gray', 'Matching Colors', 'Color By Family']",/en-us/paint-colors/color/cw-665/powell-gray,Powell Gray CW-665 | Benjamin Moore,Color,CW-665,"From Colonial Williamsburg's colonial revival color palette, this pronounced, somewhat pensive color was likely found during scratch tests, the precursor to modern paint analysis.",a75ef498beae10ce3db01264254da240b984c033,5A656C,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-224-powell-gray-CW-665-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cw-665/powell-gray,2024-07-21T00:09:42Z,,,2024-07-21T00:09:42Z,Powell Gray,,,,1,,"{'title': 'Powell <em>Gray</em> CW-665 | Benjamin Moore', 'sections': 'Powell <em>Gray</em>', 'color_name': 'Powell <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cw-665&#x2F;powell-<em>gray</em>'}",62473eef28ccbcd881ddb56b,Dark,Cool,Neutral,,,,,,
"['Annapolis Gray', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-176/annapolis-gray,Annapolis Gray HC-176 | Benjamin Moore,Color,HC-176,"With its rosy taupe cast, this effortless neutral brings just a blush of color to the space.",7835cf31ee5aca0c808d2f76d075aba5db78b4f4,C9BEAF,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-182-annapolis-gray-HC-176-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-176/annapolis-gray,2024-07-21T22:04:53Z,,,2024-07-21T22:04:52Z,Annapolis Gray,,,,1,,"{'title': 'Annapolis <em>Gray</em> HC-176 | Benjamin Moore', 'sections': 'Annapolis <em>Gray</em>', 'color_name': 'Annapolis <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-176&#x2F;annapolis-<em>gray</em>'}",6242de07e7b9d236e40f46a7,Medium,Warm,Neutral,Beige,,,,,
"['Gray Mist', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/cc-80/gray-mist,Gray Mist CC-80 | Benjamin Moore,Color,CC-80,Hushed greige tones broaden the versatility of this off-white.,16d6b18e0964305c493a751c98a966eae7d4dd0e,E3DFD2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-250-gray-mist-CC-80-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cc-80/gray-mist,2024-07-21T20:52:54Z,,,2024-07-21T20:52:53Z,Gray Mist,,,,1,,"{'title': '<em>Gray</em> Mist CC-80 | Benjamin Moore', 'sections': '<em>Gray</em> Mist', 'color_name': '<em>Gray</em> Mist', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cc-80&#x2F;<em>gray</em>-mist', 'Undertone': '<em>Gray</em>'}",6242b514e7b9d2f0690f4377,Light,Warm,White,Gray,,,,,
"['Richmond Gray', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-96/richmond-gray,Richmond Gray HC-96 | Benjamin Moore,Color,HC-96,A beige with distinct green undertones.,e1d7aec0377be1c8573728edc3ba749599edd63d,CEC7AA,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-205-richmond-gray-HC-96-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-96/richmond-gray,2024-07-21T23:58:05Z,,,2024-07-21T23:58:05Z,Richmond Gray,,,,1,,"{'title': 'Richmond <em>Gray</em> HC-96 | Benjamin Moore', 'sections': 'Richmond <em>Gray</em>', 'color_name': 'Richmond <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-96&#x2F;richmond-<em>gray</em>'}",6243053528ccbcf616ddacd2,Medium,Warm,Neutral,,,,,,
"['Gray Mist', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/oc-30/gray-mist,Gray Mist OC-30 | Benjamin Moore,Color,OC-30,Hushed greige tones broaden the versatility of this off-white.,2e7ed3e3ff9b155206f9a161d65973f29a789d4b,E3DFD2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-250-gray-mist-OC-30-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/oc-30/gray-mist,2024-07-22T00:04:38Z,,,2024-07-22T00:04:38Z,Gray Mist,,,,1,,"{'title': '<em>Gray</em> Mist OC-30 | Benjamin Moore', 'sections': '<em>Gray</em> Mist', 'color_name': '<em>Gray</em> Mist', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;oc-30&#x2F;<em>gray</em>-mist', 'Undertone': '<em>Gray</em>'}",6242693628ccbcc76adda331,Light,Warm,White,Gray,,,,,
"['Templeton Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-161/templeton-gray,Templeton Gray HC-161 | Benjamin Moore,Color,HC-161,A stylish blue-green with intriguing depth.,5d334cb7866a7faaf6d427bdc4b54616e1e5704a,778686,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-209-templeton-gray-HC-161-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-161/templeton-gray,2024-07-21T23:21:01Z,,,2024-07-21T23:21:00Z,Templeton Gray,,,,1,,"{'title': 'Templeton <em>Gray</em> HC-161 | Benjamin Moore', 'sections': 'Templeton <em>Gray</em>', 'color_name': 'Templeton <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-161&#x2F;templeton-<em>gray</em>'}",624286fe28ccbc7a02dd9cd1,Medium,Cool,,,,,,,
"['Wedgewood Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-146/wedgewood-gray,Wedgewood Gray HC-146 | Benjamin Moore,Color,HC-146,A classic soft blue with endless versatility.,50919b5c8baff93b62916b7d5e99df1ad9ba81eb,ACBFBD,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-117-wedgewood-gray-HC-146-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-146/wedgewood-gray,2024-07-22T00:33:26Z,,,2024-07-22T00:33:25Z,Wedgewood Gray,,,,1,,"{'title': 'Wedgewood <em>Gray</em> HC-146 | Benjamin Moore', 'sections': 'Wedgewood <em>Gray</em>', 'color_name': 'Wedgewood <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-146&#x2F;wedgewood-<em>gray</em>', 'Undertone': '<em>Gray</em>'}",62429862e7b9d2d01d0f60b3,Medium,Cool,,Gray,,,,,
"['Gravel Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2127-30/gravel-gray,Gravel Gray 2127-30 | Benjamin Moore,Color,2127-30,A soft shade of black with a slightly cool cast.,f6a96f7a2f6cfe98d1f337c5347987f201be173e,444A50,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-229-gravel-gray-2127-30-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2127-30/gravel-gray,2024-07-22T00:44:20Z,,,2024-07-22T00:44:20Z,Gravel Gray,,,,1,,"{'title': 'Gravel <em>Gray</em> 2127-30 | Benjamin Moore', 'sections': 'Gravel <em>Gray</em>', 'color_name': 'Gravel <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2127-30&#x2F;gravel-<em>gray</em>'}",62425af164441fe34e004eaa,Dark,Cool,Neutral,,,,,,
"['Gray Gardens', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-55/gray-gardens,Gray Gardens CSP-55 | Benjamin Moore,Color,CSP-55,"Autumn is upon the old manse. Its romantic, neglected gardens mirror the tone of the old estate with surprising warmth against the chill. ",3dc051df32fa0b086796b871a3ed61d84165c9b4,717571,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-233-gray-gardens-CSP-55-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-55/gray-gardens,2024-07-22T00:54:49Z,,,2024-07-22T00:54:49Z,Gray Gardens,,,,1,,"{'title': '<em>Gray</em> Gardens CSP-55 | Benjamin Moore', 'sections': '<em>Gray</em> Gardens', 'color_name': '<em>Gray</em> Gardens', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-55&#x2F;<em>gray</em>-gardens'}",6242ed45e7b9d25ff80f42c3,Dark,Cool,Neutral,,,,,,
"['Nordic Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/cc-576/nordic-gray,Nordic Gray CC-576 | Benjamin Moore,Color,CC-576,A touch of golden olive warms up this taupe hue.,c75adec90160210ff9f1ca153e535502f122a1b4,9E9079,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-184-nordic-gray-CC-576-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cc-576/nordic-gray,2024-06-28T18:09:07Z,,,2024-06-28T18:09:06Z,Nordic Gray,,,,1,,"{'title': 'Nordic <em>Gray</em> CC-576 | Benjamin Moore', 'sections': 'Nordic <em>Gray</em>', 'color_name': 'Nordic <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cc-576&#x2F;nordic-<em>gray</em>'}",62473445196a673c8289682a,Medium,Warm,Neutral,Brown,,,,,
"['Beige Gray', 'Discover This Color in Woodluxe Exterior Stains', 'Explore the Woodluxe Collection']",/en-us/paint-colors/color/es-51/beige-gray,Beige Gray ES-51 | Benjamin Moore,Color,ES-51,A warm and inviting neutral hue that enriches wood in a subtle range of soft browns. Exclusive to Woodluxe® stain products.,a27a5e8257ba32fb715bfd3e243c6b0aabaac9d9,A2947F,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/Woodluxe-CDP-Outdoor-Seating-Beige-Gray-ES-51-RGB.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/es-51/beige-gray,2024-07-21T21:26:10Z,,,2024-07-21T21:26:09Z,Beige Gray,,,,1,,"{'title': 'Beige <em>Gray</em> ES-51 | Benjamin Moore', 'sections': 'Beige <em>Gray</em>', 'color_name': 'Beige <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;es-51&#x2F;beige-<em>gray</em>'}",656d6bf728ccbca279259a1e,,,,,,,,,
"[""Gentleman's Gray"", 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2062-20/gentlemans-gray,Gentleman's Gray 2062-20 | Benjamin Moore,Color,2062-20,A blackened teal blue beloved for its balance of richness and restraint.,7ffee126a33e897e7463f3e46209b1626cf54e42,304656,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-137-gentlemans-gray-2062-20-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2062-20/gentlemans-gray,2024-07-21T22:04:21Z,,,2024-07-21T22:04:20Z,Gentleman's Gray,,,,1,,"{'title': 'Gentleman&#x27;s <em>Gray</em> 2062-20 | Benjamin Moore', 'sections': 'Gentleman&#x27;s <em>Gray</em>', 'color_name': 'Gentleman&#x27;s <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2062-20&#x2F;gentlemans-<em>gray</em>'}",6242b23ae7b9d277640f6343,Dark,Cool,,,,,,,
"['Seattle Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2130-70/seattle-gray,Seattle Gray 2130-70 | Benjamin Moore,Color,2130-70,"A pale, muted silver-blue evocative of misty skies.",7510254d4669819bebe5490df95d33bacf4fd050,DCE1E4,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-238-seattle-gray-2130-70-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2130-70/seattle-gray,2024-07-21T22:46:30Z,,,2024-07-21T22:46:29Z,Seattle Gray,,,,1,,"{'title': 'Seattle <em>Gray</em> 2130-70 | Benjamin Moore', 'sections': 'Seattle <em>Gray</em>', 'color_name': 'Seattle <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2130-70&#x2F;seattle-<em>gray</em>'}",6242c9f2196a67d3a8894741,Light,Cool,White,,,,,,
"['Hancock Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-97/hancock-gray,Hancock Gray HC-97 | Benjamin Moore,Color,HC-97,A muted moss with a hint of brown.,093b29573e2858f67215e14fc3377ab7705ae29f,968D70,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-189-hancock-gray-HC-97-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-97/hancock-gray,2024-07-22T03:46:14Z,,,2024-07-22T03:46:14Z,Hancock Gray,,,,1,,"{'title': 'Hancock <em>Gray</em> HC-97 | Benjamin Moore', 'sections': 'Hancock <em>Gray</em>', 'color_name': 'Hancock <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-97&#x2F;hancock-<em>gray</em>'}",6242b7b628ccbc57e4dda669,Medium,Warm,,Brown,,,,,
