sections,page_path,title,type,color_number,description,external_id,color_hex,image,url,published_at,Family,Shade,updated_at,color_name,Interior/Exterior,cdp,Color Collection,popularity,info,id,highlight,Mood,Project,Style,ColorValue,WarmCool,PrimaryColorFamily,Undertone,language
"['Rock Candy', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/937/rock-candy,Rock Candy 937 | Benjamin Moore,Color,937,"Muted green undertones bring a soft, organic quality to this off-white.",8ca5bdcd121dd0eaeca1de4e13a72b810c6bd7be,E5E5D2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-252-rock-candy-937-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/937/rock-candy,2024-07-30T13:29:09Z,White,Light,2024-07-30T13:29:08Z,Rock Candy,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,1,,6242fbd764441f2bff005ca0,{},,,,,,,,
"['Antique Yellow', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/oc-103/antique-yellow,Antique Yellow OC-103 | Benjamin Moore,Color,OC-103,Faded hints of cream lend character to this comforting off-white.,71614e3fbbcef0ad7638e4a05c8cf4d70ea77b97,F7ECD3,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-253-antique-yellow-OC-103-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/oc-103/antique-yellow,2024-07-30T20:37:52Z,White,Light,2024-07-30T20:37:51Z,Antique Yellow,"['Interior', 'Exterior']",true,Off White Collection,1,,6242dd8464441fc90d0047f0,{},,,,,,,,
"['Butterfield', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/897/butterfield,Butterfield 897 | Benjamin Moore,Color,897,"Buttery yellow undertones bring a smooth, silky quality to this off-white hue.",4636030366f2d2c07a4404912c138f3b85bfda25,F8F0DC,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-256-butterfield-897-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/897/butterfield,2024-07-30T16:25:56Z,Orange,Light,2024-07-30T16:25:56Z,Butterfield,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,1,,6242c2e628ccbcf690ddad64,{},"['Bright', 'Chaming', 'Pale', 'Soft']","['Bathroom', 'Bedroom', 'Cabinet', 'Kitchen', 'Living Room']",Modern,,,,,
"['Seashell', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/oc-120/seashell,Seashell OC-120 | Benjamin Moore,Color,OC-120,A luminous off-white that captures the delicate silver-green that lines the inside of a shell.,d7be79626541235f9bfd1f87166ef11b3e49ce73,ECE9D8,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-257-seashell-OC-120-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/oc-120/seashell,2024-07-21T21:34:55Z,,,2024-07-21T21:34:55Z,Seashell,,,,1,,6242ef1128ccbc540dddb53e,{},,,,Light,Cool,White,,
"['Seashell', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/926/seashell,Seashell 926 | Benjamin Moore,Color,926,A luminous off-white that captures the delicate silver-green that lines the inside of a shell.,36efa721aae3822cfb9cedbc0c11617537c3c5c9,ECE9D8,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-257-seashell-926-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/926/seashell,2024-07-22T04:03:21Z,,,2024-07-22T04:03:20Z,Seashell,,,,1,,6242d0bce7b9d221b90f5f47,{},,,,Light,Warm,White,Yellow,
"['Savory Cream', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2105-70/savory-cream,Savory Cream 2105-70 | Benjamin Moore,Color,2105-70,"An ultra-pale, muted pink that provides just a touch more color than an off-white.",27845112d1823563bc46c9862161561ec130822d,ECE1DA,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-191-savory-cream-2105-70-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2105-70/savory-cream,2024-07-21T21:17:31Z,,,2024-07-21T21:17:30Z,Savory Cream,,,,1,,6242c91264441ff8c100543c,{},,,,Light,Warm,Red,Brown,
"['Fine China', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2156-70/fine-china,Fine China 2156-70 | Benjamin Moore,Color,2156-70,"With its faint ecru tones, this off-white captures the distinct luster of porcelain antiques.",e69a89971fd5f10397ac5b2770ee7ce40af8dd72,FBF2DC,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-023-fine-china-2156-70-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2156-70/fine-china,2024-07-30T12:55:37Z,White,Light,2024-07-30T12:55:36Z,Fine China,"['Interior', 'Exterior']",true,Color Preview&reg;,1,,62429630e7b9d276bd0f459a,{},,,,,,,,
"['Blossom Tint', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/933/blossom-tint,Blossom Tint 933 | Benjamin Moore,Color,933,"Colored by a touch of yellow, this off-white hue introduces a subtle yet radiant glow to any room.",216759b58cfa37d131ae290a49cdf9fb08c803e5,F4F1D8,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-252-blossom-tint-933-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/933/blossom-tint,2024-07-21T23:23:59Z,,,2024-07-03T16:54:40Z,Blossom Tint,,,,1,,6242fb7d28ccbc66deddb1d3,{},,,,Light,Warm,Yellow,Cream,
"['Flurry', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/cc-100/flurry,Flurry CC-100 | Benjamin Moore,Color,CC-100,"A quiet beauty, this off-white has a slight pink undertone that gives it a soft glow.",175cd60a00e0ed1f0c0af6d97055c54c6e754689,F6F0E1,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-250-flurry-CC-100-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cc-100/flurry,2024-07-22T00:48:10Z,,,2024-07-22T00:48:09Z,Flurry,,,,1,,6242f2e1196a6727b7896916,{},,,,Light,Warm,White,Yellow,
"['White Blush', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/904/white-blush,White Blush 904 | Benjamin Moore,Color,904,"A quiet beauty, this off-white has a slight pink undertone that gives it a soft glow.",c5700a3519687c0eb27e707f83c650c7e0380641,F6F0E1,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-250-white-blush-904-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/904/white-blush,2024-07-21T21:22:58Z,,,2024-07-21T21:22:57Z,White Blush,,,,1,,624261ab28ccbca5badda3ad,{},,,,Light,Warm,White,Yellow,
"['White Blush', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/oc-86/white-blush,White Blush OC-86 | Benjamin Moore,Color,OC-86,"A quiet beauty, this off-white has a slight pink undertone that gives it a soft glow.",3175f0a904f2eb340e6b0665d5731155b7859f37,F6F0E1,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-250-white-blush-OC-86-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/oc-86/white-blush,2024-07-21T20:24:06Z,,,2024-07-21T20:24:05Z,White Blush,,,,1,,624285c8196a673c58897160,{},,,,Light,Warm,White,Cream,
"['Soft Biscuit', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/919/soft-biscuit,Soft Biscuit 919 | Benjamin Moore,Color,919,"Echoing the warm, creamy tone of buttermilk, this nuanced shade of off-white can add rich texture to a space.",1d957bee1282f51cadf59ac61713bbdc33d59137,F3EAD0,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-253-soft-biscuit-919-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/919/soft-biscuit,2024-07-22T01:53:52Z,,,2024-07-22T01:53:51Z,Soft Biscuit,,,,1,,65c24d2ee7b9d29a4e9e54da,{},,,,Light,Warm,Yellow,Cream,
"['Canvas', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/267/canvas,Canvas 267 | Benjamin Moore,Color,267,"Truly a blank canvas, this creamy off-white confers an effortless sense of style to a space.",00243c98353987b8eb1ddc33fa46dd6a2944cba4,F3EBD6,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-198-canvas-267-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/267/canvas,2024-07-22T04:03:22Z,,,2024-07-22T04:03:21Z,Canvas,,,,1,,62426e3ee7b9d2efa80f5543,{},,,,Light,Warm,Neutral,Cream,
"['Adobe White', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2166-70/adobe-white,Adobe White 2166-70 | Benjamin Moore,Color,2166-70,"Baring the slightest hint of orange, this off-white hue brings to mind a crisp stucco façade gently aged by the sun.",32f2ec6ec8b00f8c0c276070d92bec0921f27bf4,FAEDDB,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-030-adobe-white-2166-70-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2166-70/adobe-white,2024-07-21T21:04:26Z,,,2024-07-21T21:04:26Z,Adobe White,,,,1,,6242dfcb28ccbc4619dd9e11,{},,,,Light,Warm,White,Peach,
"['Play with Color', 'Color By Family', 'Off White Collection', 'Affinity® Collection', 'See even more Color Collections from Benjamin Moore.']",/en-us/paint-colors,"Explore Over 3,500 Paint Colors | Benjamin Moore",Color,,"Discover paint colors by family, palettes and collections, curated by our experts at Benjamin Moore.",bddabc8cb2795720db345076dffa9ef3027720f0,,https://www.benjaminmoore.com/-/media/sites/benjaminmoore/images/color/color-trends-2022/announcement/october-mist-living-room-640x640.jpg,https://www.benjaminmoore.com/en-us/paint-colors,2024-08-05T18:35:20Z,,,2024-08-01T18:29:54Z,,,,,1,,62f699c528ccbc10389085b7,{},,,,,,,,
"['Color Collections', 'Benjamin Moore Classics®', 'Color Preview® Collection', 'Affinity® Color Collection', 'Historical Color Collection', 'Off White Collection', 'Color Stories® Collection', 'Designer Classics Collection', 'Williamsburg® Collection']",/en-us/paint-colors/color-collections,Paint Color Collections | Benjamin Moore,Color,,"Choose from a variety of Benjamin Moore paint colors to  enhance your design style with our expertly assembled color collections, most popular colors and color palettes.",087bddc98c93b8bc703c3abe2a7ca2e56ff5a995,,https://www.benjaminmoore.com/-/media/sites/benjaminmoore/images/color/color-collections/use_colorcards_482x370.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color-collections,2024-08-05T18:36:46Z,,,2024-05-14T18:43:16Z,,,,,1,,62f6993c196a67c3225b9882,{},,,,,,,,
"['Steam', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-15/steam,Steam AF-15 | Benjamin Moore,Color,AF-15,A widely appealing white paint color that offers a clean yet soft look.,857d503ed6a060eeedd3e7b1e47cea97e2963bba,F0EFE6,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-244-steam-AF-15-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-15/steam,2024-07-21T21:02:24Z,,,2024-07-21T21:02:23Z,Steam,,,,1,,6241fe1e64441f8d8a004083,{},,,,Light,Warm,White,Cream,
